"","Column1"
"1","NR4A1"
"2","NR4A2"
"3","NR4A3"
"4","ACACA"
"5","ACLY"
"6","FADS1"
"7","FADS2"
"8","FADS3"
"9","FADS6"
"10","FASN"
"11","SCD"
"12","SCD5"
"13","LPCAT1"
"14","LPCAT2"
"15","LPCAT3"
"16","LPCAT4"
"17","AGPAT1"
"18","AGPAT2"
"19","AGPAT3"
"20","AGPAT4"
"21","AGPAT5"
"22","DGAT1"
"23","DGAT2"
"24","LIPG"
"25","MGLL"
"26","LPL"
"27","PNPLA2"
"28","PLA2G6"
"29","SOAT1"
"30","SOAT2"
"31","ACSL3"
"32","ACSL4"
"33","ACSF2"
"34","CS"
"35","CPT1A"
"36","PEX3"
"37","PEX7"
"38","PEX10"
"39","PEX12"
"40","AGPS"
"41","FAR1"
"42","GNPAT"
"43","ALOX5"
"44","ALOX12"
"45","ALOX15"
"46","PEBP1"
"47","ZEB1"
"48","NFE2L2"
"49","DPP4"
"50","HMGCR"
"51","SAT1"
"52","ACSL1"
"53","ACSL6"
"54","MAP3K5"
"55","ANO6"
"56","RB1"
"57","ALOX12B"
"58","ACLS3"
"59","LOX"
"60","SQS"
"61","SQLE"
"62","TFRC"
"63","TFN"
"64","SLC40A1"
"65","SLC11A2"
"66","CD44"
"67","PROM2"
"68","FTL"
"69","FTH"
"70","NCOA4"
"71","IREB2"
"72","ACO1"
"73","HMOX1"
"74","NFS1"
"75","CISD1"
"76","CISD2"
"77","STEAP3"
"78","PRNP"
"79","HSPB1"
"80","FANCD2"
"81","PHKG2"
"82","HSBP1"
"83","FTH1"
"84","COQ10A"
"85","AIFM2"
"86","GPX4"
"87","NQO1"
"88","AKR1C1"
"89","AKR1C2"
"90","AKR1C3"
"91","GCH1"
"92","SLC7A11"
"93","SLC3A2"
"94","GCLC"
"95","CBS"
"96","CARS"
"97","GR"
"98","SLC1A5"
"99","GLS1"
"100","GLS2"
"101","GOT1"
"102","G6PD"
"103","PGD"
"104","GCLM"
"105","FNDC2"
"106","GPX2"
"107","NRF2"
"108","KEAP1"
"109","RPL8"
"110","ATP5G3"
"111","BAP1"
"112","AURKA"
